tier	status	run_summary_dir	branch_site_label_status	branch_site_rows	branch_site_positives	branch_site_neural_test_auroc	branch_site_neural_all_auroc	branch_level_all_auroc	branch_level_test_auroc	gene_level_all_auroc	gene_level_test_auroc	calibration_temperature	calibration_selected_threshold	branch_site_threshold_policy_profiles	branch_aggregation_threshold_policy_profiles	controls_observed_branch_auroc	run_summary_warnings	optional_warnings
low	complete	branch_site_run_summary_explicit_branch_truth_100k_mps_low_streamed	explicit_simulator_branch_truth	240000000	752220	0.9986054468271459	0.9986165187787346	0.9997972984146275	1.0	0.9996974345855163	1.0	1.0	0.01	7	7	0.9997972984146275	missing_or_incomplete:branch_site_baseline	
moderate	complete	branch_site_run_summary_explicit_branch_truth_100k_mps_moderate_streamed	explicit_simulator_branch_truth	240000000	752220	0.9969617408148814	0.9970443250002278	0.999420999765674	0.9999119015792315	0.999616461782321	0.9988435667846984	1.0	0.022	7	7	0.999420999765674	missing_or_incomplete:branch_site_baseline	
high	complete	branch_site_run_summary_explicit_branch_truth_100k_mps_high_streamed	explicit_simulator_branch_truth	240000000	752220	0.9945266592054254	0.9942144555514976	0.9987773656826445	0.9999255095772711	0.9995080625299894	1.0	1.05	0.062	7	7	0.9987773656826445	missing_or_incomplete:branch_site_baseline	
extreme	complete	branch_site_run_summary_explicit_branch_truth_100k_mps_extreme_streamed	explicit_simulator_branch_truth	240000024	752221	0.9899547561981602	0.9901010352499762	0.9978728163163308	0.9998903943884134	0.9994296796369613	1.0	0.9500000000000001	0.214	7	7	0.9978728163163308	missing_or_incomplete:branch_site_baseline	
