tier	level	split	n	positives	negatives	auroc	accuracy	precision	recall	f1	mcc	specificity
low	branch_to_gene_aggregation	all	63099	46422	16677	0.9996974345855163	0.9726461592101301	0.9999328889087736	0.962883977424497	0.9810587770510514	0.9340641914028401	0.9998201115308508
low	branch_to_gene_aggregation	test	3432	2576	856	1.0	0.9994172494172494	0.9992242048099301	1.0	0.9996119518820333	0.9984435731764634	0.9976635514018691
moderate	branch_to_gene_aggregation	all	63099	46422	16677	0.999616461782321	0.9722341083059953	0.9999552312306935	0.9623023566412476	0.9807675419337842	0.9331407221936847	0.9998800743539006
moderate	branch_to_gene_aggregation	test	3432	2576	856	0.9988435667846984	0.9997086247086248	0.9996119518820333	1.0	0.9998059382883756	0.9992217876478717	0.9988317757009346
high	branch_to_gene_aggregation	all	63099	46422	16677	0.9995080625299894	0.9700787651151366	0.9999550945260227	0.9593727112145104	0.9792436235708004	0.9282990717437115	0.9998800743539006
high	branch_to_gene_aggregation	test	3432	2576	856	1.0	1.0	1.0	1.0	1.0	1.0	1.0
extreme	branch_to_gene_aggregation	all	63145	46475	16670	0.9994296796369613	0.9740438672895716	1.0	0.9647337278106509	0.9820503553788701	0.9372149736611907	1.0
extreme	branch_to_gene_aggregation	test	3432	2576	856	1.0	1.0	1.0	1.0	1.0	1.0	1.0
