tier	level	split	n	positives	negatives	auroc	accuracy	precision	recall	f1	mcc	specificity
low	branch_site_neural	all	350000	132022	217978	0.9986165187787346	0.9940285714285715	0.9877473798011952	0.9965308812167669	0.9921196902171044	0.9873379085830434	0.992513005899678
low	branch_site_neural	test	50000	18778	31222	0.9986054468271459	0.99358	0.988048019461632	0.9949408882735116	0.9914824740626741	0.9863465070439931	0.9927615143168279
moderate	branch_site_neural	all	350000	132022	217978	0.9970443250002278	0.9898171428571428	0.9835647172197796	0.9895396221841815	0.9865431231734668	0.9783646476058779	0.9899852278670325
moderate	branch_site_neural	test	50000	18778	31222	0.9969617408148814	0.98952	0.9826036379018612	0.9896155075087869	0.9860971079862032	0.9777036288456012	0.9894625584523733
high	branch_site_neural	all	350000	132022	217978	0.9942144555514976	0.9805171428571429	0.9740993464250282	0.9742542909515081	0.9741768125272185	0.9585345802591622	0.9843103432456486
high	branch_site_neural	test	50000	18778	31222	0.9945266592054254	0.98156	0.9749946797190892	0.9759292789434445	0.9754617554692074	0.9606925567004494	0.9849465120748191
extreme	branch_site_neural	all	350000	132153	217847	0.9901010352499762	0.9674571428571429	0.944999226171613	0.9702844430319403	0.9574749292493335	0.931339185463509	0.9657420115952939
extreme	branch_site_neural	test	50000	18778	31222	0.9899547561981602	0.96726	0.9451051674889639	0.9691127915645968	0.9569584308363789	0.9307384624409877	0.9661456665171995
